FW_SR,1,1024,64,0.7042
FW_SR,1,1024,128,0.6775
FW_SR,1,1024,512,0.9658
FW_SR,1,2048,64,5.3692
FW_SR,1,2048,128,4.9440
FW_SR,1,2048,512,6.1339
FW_SR,1,4096,64,43.4300
FW_SR,1,4096,128,38.8059
FW_SR,1,4096,512,43.2456
FW_SR,2,1024,64,1.3407
FW_SR,2,1024,128,0.7790
FW_SR,2,1024,512,1.0374
FW_SR,2,2048,64,11.4074
FW_SR,2,2048,128,6.0458
FW_SR,2,2048,512,6.3749
FW_SR,2,4096,64,85.0398
FW_SR,2,4096,128,45.8565
FW_SR,2,4096,512,41.7242
FW_SR,4,1024,64,1.6744
FW_SR,4,1024,128,0.9468
FW_SR,4,1024,512,1.0638
FW_SR,4,2048,64,13.3800
FW_SR,4,2048,128,7.2342
FW_SR,4,2048,512,6.1083
FW_SR,4,4096,64,107.4562
FW_SR,4,4096,128,56.1657
FW_SR,4,4096,512,41.9848
FW_SR,8,1024,64,1.9932
FW_SR,8,1024,128,1.0862
FW_SR,8,1024,512,1.0449
FW_SR,8,2048,64,15.6393
FW_SR,8,2048,128,8.4287
FW_SR,8,2048,512,6.0610
FW_SR,8,4096,64,123.5121
FW_SR,8,4096,128,63.5366
FW_SR,8,4096,512,43.8451
FW_SR,16,1024,64,2.4823
FW_SR,16,1024,128,1.2082
FW_SR,16,1024,512,1.0134
FW_SR,16,2048,64,20.4851
FW_SR,16,2048,128,9.2841
FW_SR,16,2048,512,6.3141
FW_SR,16,4096,64,150.5006
FW_SR,16,4096,128,66.2882
FW_SR,16,4096,512,44.1091
FW_SR,32,1024,64,3.6466
FW_SR,32,1024,128,1.4049
FW_SR,32,1024,512,1.0270
FW_SR,32,2048,64,29.0064
FW_SR,32,2048,128,10.2069
FW_SR,32,2048,512,6.2909
FW_SR,32,4096,64,231.3768
FW_SR,32,4096,128,80.9247
FW_SR,32,4096,512,43.9861
FW_SR,64,1024,64,6.5340
FW_SR,64,1024,128,1.7224
FW_SR,64,1024,512,1.0417
FW_SR,64,2048,64,53.0026
FW_SR,64,2048,128,13.5637
FW_SR,64,2048,512,6.2116
FW_SR,64,4096,64,424.2921
FW_SR,64,4096,128,106.5085
FW_SR,64,4096,512,43.4579
