Shmem,32,0.397352,0.396686,0.398422
Sequential,-1,0.564231,0.561958,0.571329
Shmem,64,0.215745,0.215481,0.216046
Sequential,-1,0.564245,0.562540,0.570921
Shmem,128,0.107334,0.107105,0.108097
Sequential,-1,0.571544,0.563102,0.586281
Shmem,256,0.056224,0.056068,0.056937
Sequential,-1,0.598132,0.595937,0.603868
Shmem,512,0.032737,0.031754,0.034715
Sequential,-1,0.563811,0.561673,0.570820
Shmem,1024,0.033980,0.032961,0.034792
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.564359,0.562184,0.571761
Shmem,32,0.397152,0.396497,0.398177
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550109,0.547340,0.556898
Shmem,32,0.396903,0.396351,0.397274
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549884,0.547352,0.557502
Shmem,64,0.213203,0.212635,0.213567
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550790,0.547986,0.558620
Shmem,32,0.398938,0.397968,0.399515
Sequential,-1,0.550020,0.547273,0.556627
Shmem,64,0.221302,0.220322,0.224187
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548139,0.545569,0.555907
Shmem,32,0.397053,0.396432,0.397567
Sequential,-1,0.548419,0.545293,0.556134
Shmem,64,0.213298,0.213156,0.213512
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550313,0.547590,0.557040
Shmem,32,1.218564,1.216707,1.224637
Sequential,-1,0.549814,0.546137,0.555959
Shmem,64,0.616461,0.614662,0.618772
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548972,0.546195,0.557491
Shmem,32,0.396885,0.396326,0.397628
Sequential,-1,0.549165,0.546470,0.557015
Shmem,64,0.215489,0.215141,0.215730
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550578,0.548618,0.556695
Shmem,32,0.404855,0.404153,0.405871
Sequential,-1,0.558769,0.556662,0.564152
Shmem,64,0.223248,0.222596,0.223560
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.551303,0.546401,0.564351
Shmem,32,0.401021,0.400058,0.401966
Sequential,-1,0.550204,0.547676,0.558691
Shmem,64,0.221075,0.220700,0.221294
Sequential,-1,0.549918,0.546368,0.557186
Shmem,128,0.104222,0.104005,0.104742
Sequential,-1,0.550013,0.546194,0.556906
Shmem,256,0.053549,0.053399,0.054132
Sequential,-1,0.550383,0.547227,0.556945
Shmem,512,0.044980,0.044697,0.045784
Sequential,-1,0.549891,0.546961,0.556693
Shmem,1024,0.063638,0.063464,0.064284
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.551243,0.548682,0.557588
Shmem,32,0.401055,0.400181,0.401634
Sequential,-1,0.551320,0.548238,0.558854
Shmem,64,0.209787,0.209511,0.210148
Sequential,-1,0.550236,0.547578,0.556976
Shmem,128,0.110918,0.106017,0.112535
Sequential,-1,0.549446,0.547402,0.557119
Shmem,256,0.061247,0.056608,0.062339
Sequential,-1,0.549538,0.545691,0.557418
Shmem,512,0.052254,0.032877,0.061048
Sequential,-1,0.550637,0.548158,0.558275
Shmem,1024,0.051788,0.037081,0.074010
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549716,0.545436,0.555433
Shmem,32,0.400948,0.400496,0.401733
Sequential,-1,0.550980,0.549134,0.557082
Shmem,64,0.223102,0.222685,0.223785
Sequential,-1,0.550535,0.547789,0.557405
Shmem,128,0.105397,0.105144,0.105946
Sequential,-1,0.550138,0.547647,0.557330
Shmem,256,0.053522,0.053362,0.054166
Sequential,-1,0.549645,0.547192,0.556607
Shmem,512,0.044209,0.043943,0.045004
Sequential,-1,0.549859,0.547517,0.556214
Shmem,1024,0.064648,0.064464,0.065183
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.549627,0.545798,0.556487
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548939,0.546815,0.556232
Shmem,32,1.216707,1.212928,1.221461
Sequential,-1,0.550186,0.547932,0.556850
Shmem,64,0.624717,0.623729,0.626305
Sequential,-1,0.550516,0.547212,0.557922
Shmem,128,0.306541,0.305911,0.307168
Sequential,-1,0.550043,0.547431,0.557434
Shmem,256,0.154763,0.154383,0.155408
Sequential,-1,0.550597,0.547929,0.557145
Shmem,512,0.080926,0.080286,0.081237
Sequential,-1,0.550552,0.546779,0.558217
Shmem,1024,0.067141,0.066086,0.068106
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550446,0.547364,0.557270
Shmem,32,0.401793,0.401054,0.402786
Sequential,-1,0.550172,0.547281,0.556544
Shmem,64,0.223513,0.222790,0.223967
Sequential,-1,0.550213,0.547469,0.556558
Shmem,128,0.105703,0.105538,0.106312
Sequential,-1,0.550896,0.548603,0.557289
Shmem,256,0.054280,0.054086,0.055001
Sequential,-1,0.550161,0.547813,0.555275
Shmem,512,0.044686,0.044495,0.045461
Sequential,-1,0.549450,0.546153,0.555968
Shmem,1024,0.063519,0.063278,0.064083
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548375,0.546180,0.552452
Shmem,32,0.405309,0.404657,0.405886
Sequential,-1,0.550083,0.547763,0.557493
Shmem,64,0.224849,0.224336,0.225369
Sequential,-1,0.550126,0.548415,0.556188
Shmem,128,0.104293,0.104041,0.104894
Sequential,-1,0.548979,0.546997,0.556492
Shmem,256,0.054009,0.053867,0.054514
Sequential,-1,0.549893,0.547533,0.556762
Shmem,512,0.045809,0.045357,0.046556
Sequential,-1,0.549638,0.545845,0.556520
Shmem,1024,0.067495,0.067323,0.068236
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550273,0.546991,0.556349
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550970,0.548972,0.557282
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.558022,0.555966,0.563769
Shmem,32,0.398118,0.397713,0.398972
Sequential,-1,0.548877,0.546751,0.557834
Shmem,64,0.220053,0.219584,0.220525
Sequential,-1,0.548861,0.546674,0.555465
Shmem,128,0.104918,0.104743,0.105567
Sequential,-1,0.549632,0.546833,0.556086
Shmem,256,0.053427,0.053210,0.053978
Sequential,-1,0.550832,0.547136,0.557151
Shmem,512,0.045817,0.045273,0.046411
Sequential,-1,0.550636,0.547577,0.557079
Shmem,1024,0.067182,0.067035,0.067857
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550407,0.548378,0.557086
Shmem,32,0.399723,0.398804,0.400250
Sequential,-1,0.550602,0.547158,0.557275
Shmem,64,0.219793,0.219182,0.220532
Sequential,-1,0.550638,0.548603,0.557540
Shmem,128,0.129863,0.129260,0.130277
Sequential,-1,0.549959,0.546500,0.556873
Shmem,256,0.081186,0.080740,0.081911
Sequential,-1,0.550648,0.548224,0.557900
Shmem,512,0.065485,0.065157,0.066273
Sequential,-1,0.550929,0.547641,0.556365
Shmem,1024,0.067541,0.067317,0.068443
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548517,0.544926,0.553850
Shmem,32,0.405026,0.404418,0.405656
Sequential,-1,0.549996,0.547543,0.556832
Shmem,64,0.224859,0.224374,0.225481
Sequential,-1,0.550291,0.547233,0.557168
Shmem,128,0.105372,0.105170,0.105976
Sequential,-1,0.580581,0.578390,0.587115
Shmem,256,0.053992,0.053747,0.054564
Sequential,-1,0.550007,0.547618,0.557587
Shmem,512,0.045819,0.045405,0.047077
Sequential,-1,0.550265,0.547226,0.557276
Shmem,1024,0.067471,0.067282,0.068298
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.550813,0.547357,0.557267
Shmem,32,0.405113,0.404299,0.405978
Sequential,-1,0.549125,0.545112,0.557423
Shmem,64,0.224928,0.224563,0.225286
Sequential,-1,0.551020,0.548487,0.556239
Shmem,128,0.105386,0.105257,0.105843
Sequential,-1,0.548412,0.546549,0.554776
Shmem,256,0.054098,0.053882,0.054849
Sequential,-1,0.549333,0.546889,0.555707
Shmem,512,0.046671,0.046009,0.047433
Sequential,-1,0.549465,0.547409,0.555774
Shmem,1024,0.067485,0.067279,0.068236
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,0.548784,0.545767,0.555127
Naive,32,0.132907,0.132719,0.133882
Sequential,-1,0.548998,0.546088,0.555967
Naive,64,0.132868,0.132567,0.133672
Sequential,-1,0.549361,0.545471,0.555954
Naive,128,0.131684,0.131426,0.132455
Sequential,-1,0.548845,0.546533,0.555562
Naive,256,0.132090,0.131710,0.132944
Sequential,-1,0.549093,0.546995,0.555620
Naive,512,0.133924,0.133639,0.134760
Sequential,-1,0.577518,0.574944,0.584655
Naive,1024,0.136045,0.135618,0.136900
Sequential,-1,0.548406,0.545452,0.555160
Transpose,32,0.086139,0.085859,0.087245
Sequential,-1,0.551378,0.549350,0.557719
Transpose,64,0.077527,0.076946,0.079816
Sequential,-1,0.550393,0.547591,0.557403
Transpose,128,0.077175,0.076658,0.079893
Sequential,-1,0.550387,0.547985,0.556505
Transpose,256,0.077209,0.076489,0.080138
Sequential,-1,0.548789,0.545022,0.556110
Transpose,512,0.077552,0.076724,0.081045
Sequential,-1,0.549989,0.547736,0.554663
Transpose,1024,0.078434,0.077803,0.081047
Sequential,-1,0.548843,0.546322,0.556030
Shmem,32,0.081386,0.081088,0.082468
Sequential,-1,0.553901,0.548907,0.561778
Shmem,64,0.075612,0.074778,0.079797
Sequential,-1,0.550743,0.548153,0.557754
Shmem,128,0.074219,0.073295,0.079748
Sequential,-1,0.551260,0.549293,0.557161
Shmem,256,0.073907,0.073046,0.079389
Sequential,-1,0.551038,0.548506,0.559112
Shmem,512,0.074278,0.073431,0.079726
Sequential,-1,0.550745,0.548705,0.557257
Shmem,1024,0.074976,0.073964,0.080082
Sequential,-1,0.550991,0.548989,0.557944
Shmem,32,0.405387,0.404766,0.406192
Sequential,-1,0.550242,0.547691,0.557134
Shmem,64,0.225141,0.224800,0.225731
Sequential,-1,0.550343,0.548765,0.557328
Shmem,128,0.104295,0.104066,0.104848
Sequential,-1,0.550928,0.548559,0.558334
Shmem,256,0.053488,0.053264,0.054202
Sequential,-1,0.550061,0.546813,0.556691
