FW_SR,1,1024,32,0.8802
FW_SR,1,1024,64,0.7602
FW_SR,1,1024,128,0.7642
FW_SR,1,1024,512,1.1069
FW_SR,1,2048,32,6.8371
FW_SR,1,2048,64,5.4920
FW_SR,1,2048,128,4.9308
FW_SR,1,2048,512,6.5338
FW_SR,1,4096,32,57.1502
FW_SR,1,4096,64,43.5495
FW_SR,1,4096,128,38.0224
FW_SR,1,4096,512,43.1146
FW_SR,2,1024,32,7.1723
FW_SR,2,1024,64,1.5022
FW_SR,2,1024,128,0.8449
FW_SR,2,1024,512,1.0525
FW_SR,2,2048,32,57.0738
FW_SR,2,2048,64,11.3416
FW_SR,2,2048,128,5.9641
FW_SR,2,2048,512,6.0678
FW_SR,2,4096,32,459.0955
FW_SR,2,4096,64,84.1954
FW_SR,2,4096,128,46.0474
FW_SR,2,4096,512,41.5350
FW_SR,4,1024,32,8.3025
FW_SR,4,1024,64,1.6676
FW_SR,4,1024,128,0.9612
FW_SR,4,1024,512,1.0545
FW_SR,4,2048,32,67.0586
FW_SR,4,2048,64,13.3533
FW_SR,4,2048,128,7.2867
FW_SR,4,2048,512,6.1046
FW_SR,4,4096,32,532.3908
FW_SR,4,4096,64,108.3763
FW_SR,4,4096,128,56.2658
FW_SR,4,4096,512,41.9401
FW_SR,8,1024,32,10.9217
FW_SR,8,1024,64,1.9215
FW_SR,8,1024,128,1.0846
FW_SR,8,1024,512,1.0451
FW_SR,8,2048,32,86.4283
FW_SR,8,2048,64,15.4946
FW_SR,8,2048,128,8.2889
FW_SR,8,2048,512,6.3364
